#--it-----t--------dt-------rhomin------rhomax-------umax--------urms--------brms--------bmax--------arms--------amax--------ubm--------ubrms-------divum-------divu2m------Sij2m-------ab_int------jb_int------ub_int-------abm------visc_heatm-
  160    0.149  9.77E-04 9.68896E-01 1.03074E+00 2.05809E-01 4.95067E-02 6.66170E-02 2.39471E-01 6.29691E-04 2.56002E-03  9.4318E-09 1.85500E-03  3.3424E-11 5.97422E-01 4.94170E+01 -1.2513E-06 -2.6467E-02  2.3396E-06 -5.0445E-09 2.84105E-05
  165    0.154  9.80E-04 9.69815E-01 1.03235E+00 2.01671E-01 4.90440E-02 6.54774E-02 2.38908E-01 6.25224E-04 2.54890E-03  9.8853E-09 1.80731E-03 -1.2506E-11 5.79112E-01 4.78488E+01 -1.2517E-06 -2.7006E-02  2.4520E-06 -5.0460E-09 2.70197E-05
  170    0.159  9.82E-04 9.69633E-01 1.03013E+00 1.97021E-01 4.85851E-02 6.43865E-02 2.37719E-01 6.20931E-04 2.53608E-03  1.0188E-08 1.76171E-03  3.4277E-11 5.61967E-01 4.63458E+01 -1.2513E-06 -2.7452E-02  2.5271E-06 -5.0446E-09 2.57363E-05
  175    0.164  9.82E-04 9.70739E-01 1.02968E+00 1.98504E-01 4.81312E-02 6.33431E-02 2.36172E-01 6.16806E-04 2.52219E-03  1.0334E-08 1.71808E-03 -4.4906E-12 5.45977E-01 4.49076E+01 -1.2503E-06 -2.7821E-02  2.5634E-06 -5.0406E-09 2.45641E-05
  180    0.168  9.82E-04 9.68151E-01 1.02873E+00 1.96202E-01 4.76830E-02 6.23448E-02 2.34717E-01 6.12845E-04 2.50809E-03  1.0295E-08 1.67636E-03 -1.3245E-11 5.30618E-01 4.35323E+01 -1.2488E-06 -2.8156E-02  2.5538E-06 -5.0344E-09 2.34575E-05
  185    0.173  9.83E-04 9.71844E-01 1.02828E+00 1.93439E-01 4.72409E-02 6.13885E-02 2.33319E-01 6.09034E-04 2.49401E-03  1.0050E-08 1.63647E-03  5.1159E-12 5.16285E-01 4.22166E+01 -1.2467E-06 -2.8473E-02  2.4931E-06 -5.0259E-09 2.24405E-05
  190    0.178  9.86E-04 9.72250E-01 1.02965E+00 1.91752E-01 4.68043E-02 6.04699E-02 2.31569E-01 6.05357E-04 2.47973E-03  9.6170E-09 1.59824E-03  6.8212E-13 5.02864E-01 4.09554E+01 -1.2441E-06 -2.8750E-02  2.3855E-06 -5.0154E-09 2.15059E-05
  195    0.183  9.87E-04 9.72665E-01 1.02823E+00 1.90747E-01 4.63737E-02 5.95871E-02 2.29333E-01 6.01809E-04 2.46510E-03  9.0318E-09 1.56160E-03 -1.6712E-11 4.89959E-01 3.97465E+01 -1.2410E-06 -2.8967E-02  2.2404E-06 -5.0030E-09 2.06176E-05
  200    0.188  9.84E-04 9.72046E-01 1.02732E+00 1.92435E-01 4.59500E-02 5.87398E-02 2.26874E-01 5.98389E-04 2.45011E-03  8.3328E-09 1.52649E-03  2.3874E-11 4.77849E-01 3.85901E+01 -1.2375E-06 -2.9129E-02  2.0669E-06 -4.9891E-09 1.97991E-05
  205    0.193  9.86E-04 9.72316E-01 1.02729E+00 1.91612E-01 4.55340E-02 5.79268E-02 2.24394E-01 5.95094E-04 2.43463E-03  7.5344E-09 1.49285E-03  2.4784E-11 4.66413E-01 3.74846E+01 -1.2338E-06 -2.9261E-02  1.8689E-06 -4.9739E-09 1.90347E-05
  210    0.198  9.87E-04 9.72201E-01 1.02685E+00 1.87913E-01 4.51240E-02 5.71433E-02 2.21849E-01 5.91904E-04 2.41863E-03  6.6310E-09 1.46051E-03  0.0000E+00 4.55479E-01 3.64237E+01 -1.2297E-06 -2.9389E-02  1.6449E-06 -4.9574E-09 1.83205E-05
  215    0.203  9.90E-04 9.71254E-01 1.02644E+00 1.84342E-01 4.47201E-02 5.63873E-02 2.19240E-01 5.88813E-04 2.40238E-03  5.6114E-09 1.42939E-03 -5.7980E-12 4.44960E-01 3.54048E+01 -1.2253E-06 -2.9517E-02  1.3919E-06 -4.9396E-09 1.76433E-05
  220    0.208  9.90E-04 9.72678E-01 1.02557E+00 1.81884E-01 4.43224E-02 5.56577E-02 2.16691E-01 5.85817E-04 2.38607E-03  4.4720E-09 1.39946E-03 -3.2287E-11 4.35001E-01 3.44266E+01 -1.2206E-06 -2.9626E-02  1.1092E-06 -4.9207E-09 1.70071E-05
  225    0.213  9.93E-04 9.73407E-01 1.02714E+00 1.77367E-01 4.39313E-02 5.49534E-02 2.14163E-01 5.82913E-04 2.36957E-03  3.2270E-09 1.37065E-03  2.9559E-11 4.25620E-01 3.34874E+01 -1.2156E-06 -2.9684E-02  8.0048E-07 -4.9007E-09 1.64166E-05
  230    0.218  9.96E-04 9.74603E-01 1.02586E+00 1.73424E-01 4.35460E-02 5.42722E-02 2.11357E-01 5.80092E-04 2.35274E-03  1.8845E-09 1.34287E-03  1.8645E-11 4.16554E-01 3.25843E+01 -1.2105E-06 -2.9675E-02  4.6747E-07 -4.8799E-09 1.58521E-05
  235    0.223  9.95E-04 9.73194E-01 1.02463E+00 1.74040E-01 4.31671E-02 5.36136E-02 2.08032E-01 5.77353E-04 2.33582E-03  4.5178E-10 1.31610E-03 -6.0254E-12 4.07731E-01 3.17164E+01 -1.2052E-06 -2.9612E-02  1.1213E-07 -4.8586E-09 1.53128E-05
  240    0.228  9.97E-04 9.74392E-01 1.02568E+00 1.73510E-01 4.27950E-02 5.29773E-02 2.04291E-01 5.74695E-04 2.33189E-03 -1.0604E-09 1.29031E-03 -8.0433E-12 3.99447E-01 3.08834E+01 -1.1998E-06 -2.9524E-02 -2.6308E-07 -4.8371E-09 1.48101E-05
  245    0.233  9.99E-04 9.74662E-01 1.02427E+00 1.72430E-01 4.24289E-02 5.23609E-02 2.00400E-01 5.72109E-04 2.32858E-03 -2.6472E-09 1.26541E-03  3.0013E-11 3.91576E-01 3.00816E+01 -1.1944E-06 -2.9437E-02 -6.5659E-07 -4.8153E-09 1.43382E-05
  250    0.238  1.00E-03 9.72919E-01 1.02454E+00 1.70602E-01 4.20687E-02 5.17635E-02 1.97038E-01 5.69593E-04 2.32513E-03 -4.3090E-09 1.24135E-03 -1.6712E-11 3.83921E-01 2.93099E+01 -1.1889E-06 -2.9358E-02 -1.0689E-06 -4.7930E-09 1.38889E-05
  255    0.243  1.00E-03 9.76088E-01 1.02440E+00 1.67665E-01 4.17148E-02 5.11850E-02 1.95016E-01 5.67146E-04 2.32188E-03 -6.0387E-09 1.21812E-03 -1.0687E-11 3.76506E-01 2.85678E+01 -1.1832E-06 -2.9274E-02 -1.4979E-06 -4.7702E-09 1.34574E-05
  260    0.248  1.00E-03 9.75842E-01 1.02416E+00 1.64801E-01 4.13670E-02 5.06241E-02 1.92303E-01 5.64763E-04 2.31838E-03 -7.8390E-09 1.19569E-03  2.2396E-11 3.69488E-01 2.78535E+01 -1.1775E-06 -2.9172E-02 -1.9444E-06 -4.7471E-09 1.30535E-05
  265    0.253  1.00E-03 9.76502E-01 1.02546E+00 1.66291E-01 4.10258E-02 5.00809E-02 1.89451E-01 5.62446E-04 2.31404E-03 -9.7035E-09 1.17405E-03 -4.6867E-11 3.62685E-01 2.71670E+01 -1.1718E-06 -2.9056E-02 -2.4071E-06 -4.7239E-09 1.26659E-05
  270    0.258  1.00E-03 9.75643E-01 1.02377E+00 1.68868E-01 4.06902E-02 4.95533E-02 1.87079E-01 5.60187E-04 2.30863E-03 -1.1631E-08 1.15311E-03 -1.7351E-11 3.56138E-01 2.65052E+01 -1.1660E-06 -2.8934E-02 -2.8851E-06 -4.7008E-09 1.22958E-05
  275    0.263  1.00E-03 9.75664E-01 1.02329E+00 1.69197E-01 4.03601E-02 4.90403E-02 1.85337E-01 5.57980E-04 2.30239E-03 -1.3618E-08 1.13282E-03  2.7740E-11 3.49950E-01 2.58668E+01 -1.1603E-06 -2.8811E-02 -3.3779E-06 -4.6775E-09 1.19507E-05
  280    0.268  1.00E-03 9.76477E-01 1.02274E+00 1.70002E-01 4.00363E-02 4.85430E-02 1.83832E-01 5.55832E-04 2.29569E-03 -1.5642E-08 1.11321E-03 -1.8474E-12 3.43862E-01 2.52526E+01 -1.1545E-06 -2.8673E-02 -3.8802E-06 -4.6543E-09 1.16152E-05
  285    0.273  1.00E-03 9.75964E-01 1.02373E+00 1.68119E-01 3.97184E-02 4.80600E-02 1.82028E-01 5.53738E-04 2.28886E-03 -1.7708E-08 1.09424E-03  8.8960E-12 3.38000E-01 2.46610E+01 -1.1487E-06 -2.8509E-02 -4.3924E-06 -4.6309E-09 1.12953E-05
  290    0.278  1.00E-03 9.77261E-01 1.02278E+00 1.64447E-01 3.94058E-02 4.75900E-02 1.79765E-01 5.51692E-04 2.28212E-03 -1.9813E-08 1.07586E-03  2.0592E-11 3.32377E-01 2.40899E+01 -1.1429E-06 -2.8331E-02 -4.9144E-06 -4.6076E-09 1.09922E-05
  295    0.283  1.01E-03 9.76436E-01 1.02288E+00 1.60707E-01 3.90987E-02 4.71328E-02 1.77394E-01 5.49694E-04 2.27549E-03 -2.1942E-08 1.05806E-03 -8.5549E-12 3.26961E-01 2.35389E+01 -1.1371E-06 -2.8161E-02 -5.4428E-06 -4.5843E-09 1.07025E-05
  300    0.288  1.01E-03 9.77049E-01 1.02381E+00 1.61964E-01 3.87967E-02 4.66876E-02 1.75423E-01 5.47740E-04 2.26876E-03 -2.4104E-08 1.04080E-03 -2.5580E-12 3.21723E-01 2.30068E+01 -1.1314E-06 -2.8008E-02 -5.9789E-06 -4.5610E-09 1.04267E-05
  305    0.293  1.01E-03 9.74274E-01 1.02307E+00 1.61379E-01 3.85002E-02 4.62545E-02 1.74047E-01 5.45832E-04 2.26174E-03 -2.6299E-08 1.02407E-03  1.0232E-11 3.16662E-01 2.24935E+01 -1.1256E-06 -2.7856E-02 -6.5234E-06 -4.5377E-09 1.01633E-05
  310    0.298  1.01E-03 9.76650E-01 1.02300E+00 1.59346E-01 3.82087E-02 4.58325E-02 1.72959E-01 5.43965E-04 2.25449E-03 -2.8519E-08 1.00781E-03 -1.3188E-11 3.11718E-01 2.19975E+01 -1.1198E-06 -2.7677E-02 -7.0741E-06 -4.5146E-09 9.90651E-06
