#--it-----t--------dt-----zredshift--ion_frac----nu_tdep--alpha_drag---rhomin-----rhomax------umax-------urms-------brms-------bmax-------arms-------amax--------ubm--------ubrms------divum------divu2m------ab_int------jb_int------ub_int-------abm-----
   85    0.018  4.08E-04  5138.5615 1.0798E+00 1.0000E-17 1.1021E+04 6.2155E-01 1.3677E+00 9.0855E-01 7.0306E-03 3.6088E-01 1.5186E+00 1.0092E-03 4.0343E-03 -1.9016E-10 2.4506E-04  8.0844E-13 2.1739E+00  5.7272E-07  1.8988E-01 -4.7170E-08  2.3089E-09
   90    0.019  8.75E-05  5134.3604 1.0798E+00 1.0000E-17 1.0999E+04 6.1195E-01 1.4214E+00 7.7700E+00 6.5927E-03 3.5994E-01 1.5161E+00 1.0073E-03 4.0320E-03 -9.8689E-10 2.4035E-04  5.5243E-12 1.9885E+00  5.7260E-07  1.8991E-01 -2.4480E-07  2.3084E-09
   95    0.020  1.43E-04  5130.9365 1.0798E+00 1.0000E-17 1.0982E+04 6.0468E-01 1.6013E+00 3.9453E+00 7.0416E-03 3.5921E-01 1.5141E+00 1.0058E-03 4.0301E-03  2.7107E-10 2.8891E-04  6.1812E-12 1.9250E+00  5.7253E-07  1.8994E-01  6.7240E-08  2.3081E-09
  100    0.021  9.49E-05  5127.7368 1.0798E+00 1.0000E-17 1.0963E+04 5.9692E-01 1.7020E+00 5.7564E+00 6.8192E-03 3.5842E-01 1.5119E+00 1.0043E-03 4.0281E-03  1.1649E-10 2.8083E-04 -8.1518E-12 1.7936E+00  5.7245E-07  1.8996E-01  2.8897E-08  2.3078E-09
  105    0.022  5.93E-05  5123.8872 1.0798E+00 1.0000E-17 1.0944E+04 5.8897E-01 1.6882E+00 9.2024E+00 6.7432E-03 3.5759E-01 1.5096E+00 1.0026E-03 4.0260E-03  2.2833E-10 2.9523E-04 -6.9223E-12 1.6834E+00  5.7236E-07  1.8997E-01  5.6637E-08  2.3074E-09
  110    0.023  2.51E-04  5121.2207 1.0798E+00 1.0000E-17 1.0929E+04 5.8341E-01 1.5918E+00 1.8889E+00 6.6857E-03 3.5701E-01 1.5079E+00 1.0015E-03 4.0245E-03 -3.8448E-10 2.9658E-04 -4.8675E-12 1.5938E+00  5.7230E-07  1.8997E-01 -9.5370E-08  2.3072E-09
  115    0.024  2.29E-04  5117.3667 1.0798E+00 1.0000E-17 1.0909E+04 5.7594E-01 1.6289E+00 2.0566E+00 6.6130E-03 3.5621E-01 1.5057E+00 9.9989E-04 4.0224E-03 -2.6441E-10 3.0643E-04 -7.2423E-12 1.4899E+00  5.7223E-07  1.8996E-01 -6.5588E-08  2.3069E-09
  120    0.025  1.64E-04  5113.4810 1.0798E+00 1.0000E-17 1.0888E+04 5.6827E-01 1.7177E+00 2.7496E+00 6.5410E-03 3.5538E-01 1.5034E+00 9.9823E-04 4.0202E-03  1.5195E-10 3.1940E-04  2.6780E-12 1.3875E+00  5.7215E-07  1.8995E-01  3.7691E-08  2.3066E-09
  125    0.026  5.40E-05  5109.6030 1.0798E+00 1.0000E-17 1.0868E+04 5.3955E-01 1.8681E+00 1.0150E+01 6.4800E-03 3.5459E-01 1.5012E+00 9.9667E-04 4.0181E-03  2.6105E-10 3.3187E-04 -9.9371E-13 1.3096E+00  5.7208E-07  1.8993E-01  6.4755E-08  2.3063E-09
  130    0.027  4.36E-04  5106.9653 1.0798E+00 1.0000E-17 1.0854E+04 5.5652E-01 1.6768E+00 8.5382E-01 6.4207E-03 3.5407E-01 1.4997E+00 9.9563E-04 4.0167E-03 -2.9153E-10 3.3055E-04  5.3391E-12 1.2351E+00  5.7202E-07  1.8990E-01 -7.2315E-08  2.3061E-09
  135    0.028  1.69E-05  5102.7812 1.0798E+00 1.0000E-17 1.0830E+04 1.3274E-01 1.8640E+00 2.9379E+01 6.4067E-03 3.5318E-01 1.4972E+00 9.9386E-04 4.0142E-03 -1.1753E-09 3.8908E-04 -4.1938E-12 1.2372E+00  5.7193E-07  1.8986E-01 -2.9155E-07  2.3057E-09
  140    0.029  5.53E-04  5101.6367 1.0798E+00 1.0000E-17 1.0827E+04 4.1739E-01 1.7121E+00 7.0621E-01 6.3293E-03 3.5301E-01 1.4967E+00 9.9353E-04 4.0138E-03 -4.3193E-10 3.4219E-04 -1.0105E-12 1.1227E+00  5.7192E-07  1.8985E-01 -1.0714E-07  2.3057E-09
  145    0.030  1.59E-04  5097.7441 1.0798E+00 1.0000E-17 1.0805E+04 4.4055E-01 1.6686E+00 4.6545E+00 6.2650E-03 3.5223E-01 1.4945E+00 9.9198E-04 4.0116E-03 -9.9293E-10 3.5300E-04 -2.0211E-13 1.0453E+00  5.7185E-07  1.8979E-01 -2.4630E-07  2.3054E-09
  150    0.031  1.83E-04  5094.5259 1.0798E+00 1.0000E-17 1.0786E+04 4.5799E-01 1.7277E+00 3.6987E+00 6.2074E-03 3.5154E-01 1.4925E+00 9.9062E-04 4.0097E-03 -4.3074E-10 3.5860E-04  5.5917E-12 9.8105E-01  5.7178E-07  1.8974E-01 -1.0684E-07  2.3051E-09
  155    0.032  6.85E-05  5090.6660 1.0798E+00 1.0000E-17 1.0766E+04 3.4904E-01 1.7342E+00 8.5902E+00 6.1559E-03 3.5081E-01 1.4904E+00 9.8917E-04 4.0076E-03 -4.9523E-10 3.7322E-04  2.4590E-12 9.2346E-01  5.7170E-07  1.8967E-01 -1.2284E-07  2.3048E-09
  160    0.033  1.71E-04  5087.9653 1.0798E+00 1.0000E-17 1.0750E+04 4.1049E-01 1.7730E+00 2.7520E+00 6.1034E-03 3.5028E-01 1.4889E+00 9.8811E-04 4.0061E-03 -1.9986E-10 3.7123E-04 -2.1053E-12 8.7066E-01  5.7165E-07  1.8962E-01 -4.9576E-08  2.3046E-09
  165    0.034  4.29E-05  5083.6968 1.0798E+00 1.0000E-17 1.0729E+04 4.0433E-01 1.9963E+00 1.4120E+01 6.0713E-03 3.4952E-01 1.4867E+00 9.8661E-04 4.0039E-03  9.3070E-10 3.9845E-04 -2.5264E-13 8.3808E-01  5.7156E-07  1.8953E-01  2.3086E-07  2.3042E-09
  170    0.035  4.16E-05  5080.2627 1.0797E+00 1.0000E-17 1.0712E+04 4.4125E-01 1.9891E+00 1.1745E+01 6.0235E-03 3.4893E-01 1.4850E+00 9.8543E-04 4.0022E-03  1.3090E-09 4.0233E-04 -3.5875E-12 8.0000E-01  5.7149E-07  1.8946E-01  3.2470E-07  2.3039E-09
  175    0.036  9.90E-05  5077.4399 1.0797E+00 1.0000E-17 1.0697E+04 5.0944E-01 1.5818E+00 4.7394E+00 5.9606E-03 3.4843E-01 1.4836E+00 9.8444E-04 4.0007E-03 -1.0829E-09 3.9134E-04 -2.3748E-12 7.3120E-01  5.7143E-07  1.8940E-01 -2.6862E-07  2.3037E-09
  180    0.037  1.08E-04  5074.6689 1.0797E+00 1.0000E-17 1.0682E+04 3.9099E-01 1.9059E+00 2.9440E+00 5.9203E-03 3.4793E-01 1.4821E+00 9.8344E-04 3.9992E-03  5.2409E-10 3.9501E-04 -4.1938E-12 6.9481E-01  5.7137E-07  1.8933E-01  1.3000E-07  2.3034E-09
  185    0.038  2.05E-04  5071.7031 1.0797E+00 1.0000E-17 1.0664E+04 4.5533E-01 1.7131E+00 1.4833E+00 5.8743E-03 3.4735E-01 1.4805E+00 9.8230E-04 3.9975E-03  1.3442E-10 3.9893E-04 -1.2800E-12 6.5270E-01  5.7129E-07  1.8924E-01  3.3344E-08  2.3031E-09
  190    0.039  5.79E-05  5067.5908 1.0797E+00 1.0000E-17 1.0643E+04 4.9092E-01 1.8912E+00 5.4571E+00 5.8403E-03 3.4664E-01 1.4784E+00 9.8089E-04 3.9953E-03 -3.5551E-09 4.1565E-04  1.8695E-12 6.3378E-01  5.7120E-07  1.8913E-01 -8.8184E-07  2.3028E-09
  195    0.040  2.37E-04  5064.3032 1.0797E+00 1.0000E-17 1.0629E+04 4.9211E-01 1.6412E+00 1.3573E+00 5.7868E-03 3.4618E-01 1.4770E+00 9.7997E-04 3.9939E-03 -9.9060E-10 4.0913E-04  1.1958E-12 5.7984E-01  5.7114E-07  1.8905E-01 -2.4572E-07  2.3025E-09
  200    0.041  6.24E-04  5060.2900 1.0797E+00 1.0000E-17 1.0606E+04 4.8681E-01 1.5689E+00 4.3115E-01 5.7340E-03 3.4547E-01 1.4750E+00 9.7857E-04 3.9917E-03 -7.1910E-10 4.1457E-04 -2.3748E-12 5.3758E-01  5.7105E-07  1.8894E-01 -1.7837E-07  2.3022E-09
  205    0.042  1.00E-04  5056.9976 1.0797E+00 1.0000E-17 1.0587E+04 3.2070E-01 1.5566E+00 4.4801E+00 5.7033E-03 3.4488E-01 1.4732E+00 9.7740E-04 3.9899E-03 -2.9717E-09 4.2625E-04 -2.5264E-13 5.1285E-01  5.7096E-07  1.8882E-01 -7.3712E-07  2.3018E-09
  210    0.043  3.39E-04  5053.3403 1.0797E+00 1.0000E-17 1.0570E+04 3.2109E-01 1.5530E+00 1.4085E+00 5.6544E-03 3.4434E-01 1.4716E+00 9.7633E-04 3.9882E-03 -1.2852E-09 4.2427E-04 -6.4338E-12 4.7844E-01  5.7089E-07  1.8872E-01 -3.1880E-07  2.3015E-09
  215    0.044  9.89E-05  5049.6372 1.0797E+00 1.0000E-17 1.0550E+04 3.2905E-01 1.5758E+00 6.8209E+00 5.6363E-03 3.4374E-01 1.4699E+00 9.7515E-04 3.9863E-03 -3.2213E-09 4.4348E-04 -3.4190E-12 4.5461E-01  5.7081E-07  1.8861E-01 -7.9905E-07  2.3012E-09
  220    0.045  2.99E-04  5046.5210 1.0797E+00 1.0000E-17 1.0533E+04 3.4834E-01 1.5612E+00 1.6759E+00 5.5740E-03 3.4320E-01 1.4683E+00 9.7407E-04 3.9846E-03 -1.1045E-09 4.3267E-04  1.1790E-13 4.2406E-01  5.7074E-07  1.8850E-01 -2.7396E-07  2.3009E-09
  225    0.046  1.35E-04  5042.6597 1.0797E+00 1.0000E-17 1.0512E+04 3.4434E-01 1.5649E+00 5.2515E+00 5.5403E-03 3.4260E-01 1.4665E+00 9.7288E-04 3.9827E-03 -1.9563E-09 4.4087E-04 -3.8738E-12 3.9980E-01  5.7067E-07  1.8837E-01 -4.8527E-07  2.3006E-09
  230    0.047  5.76E-04  5039.0039 1.0797E+00 1.0000E-17 1.0496E+04 3.6383E-01 1.5678E+00 5.8345E-01 5.4989E-03 3.4210E-01 1.4650E+00 9.7190E-04 3.9810E-03 -6.8230E-10 4.4027E-04  5.8275E-12 3.7728E-01  5.7061E-07  1.8827E-01 -1.6924E-07  2.3004E-09
  235    0.048  3.68E-05  5034.7007 1.0797E+00 1.0000E-17 1.0472E+04 3.3390E-01 1.6077E+00 1.4783E+01 5.4755E-03 3.4143E-01 1.4630E+00 9.7056E-04 3.9788E-03 -6.0671E-10 4.6445E-04 -8.5560E-12 3.8149E-01  5.7052E-07  1.8811E-01 -1.5050E-07  2.3000E-09
